1;2;36
1;79;42
1;172;34
2;4;32
2;6;90
2;7;46
2;79;41
4;6;37
4;19;39
4;79;22
4;117;30
4;199;45
5;39;82
5;60;28
5;77;76
5;83;45
5;84;62
5;202;44
5;205;43
6;7;50
6;112;34
6;115;30
6;116;36
6;117;22
7;10;77
7;114;67
7;115;38
8;18;56
8;20;45
8;21;44
8;82;70
8;174;73
8;175;47
8;176;42
8;203;61
9;12;38
9;111;44
9;113;23
9;114;52
10;11;43
10;114;39
11;12;38
11;114;40
12;114;44
13;16;68
13;19;74
13;77;60
13;111;47
13;116;32
13;117;48
13;199;44
13;200;41
14;15;61
14;16;51
14;40;52
14;67;118
14;77;80
14;118;82
14;121;130
15;16;36
15;111;65
15;118;106
16;77;58
16;111;61
17;18;38
17;77;60
17;200;38
17;201;24
17;202;32
18;19;58
18;20;36
18;82;83
18;83;65
18;202;59
18;203;35
19;20;52
19;79;38
19;80;27
19;199;30
19;200;48
19;201;40
20;80;38
20;173;32
20;174;91
21;45;97
21;176;23
21;182;32
21;183;27
22;46;54
22;88;27
22;110;67
22;197;63
22;207;89
22;211;64
22;212;81
23;37;47
23;46;70
23;47;83
23;218;52
23;220;62
23;221;86
23;231;68
24;47;94
24;219;57
24;220;77
24;222;116
24;223;103
24;224;109
25;51;28
25;228;90
25;229;65
25;230;87
26;34;80
26;93;107
26;170;77
27;72;23
27;137;27
28;61;107
28;66;80
28;76;61
28;125;48
28;126;38
28;127;55
28;128;92
28;130;42
28;131;51
29;180;39
29;186;50
29;187;90
29;189;67
30;78;33
30;90;60
30;94;62
30;101;93
30;102;100
31;39;73
31;64;56
31;78;79
31;84;87
31;90;108
31;139;48
31;140;64
31;206;72
32;41;80
32;64;58
32;94;111
32;95;104
32;140;55
32;141;73
32;142;70
32;143;64
33;40;42
33;60;43
33;73;46
33;77;69
34;89;62
34;170;75
35;55;92
35;58;52
35;93;82
35;105;74
35;154;78
35;161;72
35;169;82
36;37;146
36;56;170
36;101;91
36;102;96
36;162;69
36;171;164
36;232;44
37;47;93
37;163;77
37;231;39
37;232;121
39;41;107
39;60;72
39;73;35
39;84;97
39;119;54
39;139;35
40;73;42
40;121;120
41;63;69
41;65;92
41;119;66
41;120;49
41;123;74
41;140;77
41;142;43
42;43;81
42;82;62
42;85;94
42;86;65
42;109;68
42;183;50
42;184;40
43;86;57
43;88;158
43;90;74
43;108;43
43;109;85
43;206;69
44;177;56
44;179;31
44;185;38
44;186;30
44;191;62
44;192;59
44;193;63
45;81;80
45;174;102
45;176;76
45;177;65
45;185;62
46;207;78
46;212;34
47;165;69
47;166;46
47;224;138
48;49;21
48;52;55
48;166;56
48;224;105
49;51;75
49;52;39
49;168;68
49;225;136
49;230;38
50;226;31
50;227;26
51;225;107
51;228;84
51;230;74
52;53;52
52;168;44
52;230;30
53;54;72
53;92;115
53;230;73
54;89;27
54;92;125
54;169;86
55;89;55
55;93;81
55;169;49
55;170;51
56;57;100
56;91;88
56;96;93
56;98;68
56;101;182
56;171;96
57;58;61
57;91;69
57;99;108
58;99;72
58;154;86
59;97;91
59;98;124
59;148;93
59;152;87
59;153;84
59;160;187
60;73;50
61;65;89
61;127;66
61;128;51
61;145;57
61;146;59
63;65;74
63;123;25
63;125;48
63;126;33
63;127;67
64;78;75
64;140;32
64;141;39
65;127;71
65;142;48
65;143;54
65;144;41
65;145;71
66;68;56
66;69;50
66;122;66
66;124;132
66;125;40
66;131;70
67;68;59
67;69;60
67;121;59
67;122;78
67;124;120
68;124;78
